笔记链接,评论id,评论者昵称,评论者id,评论时间,评论IP属地,评论点赞数,评论内容,评论级别,评论目标id
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,6735f020000000001802ab06,可咸可甜的傲娇白,5b6561bee8ac2b2341c2ca20,1731588128000,辽宁,54,有些事可能一辈子不说[笑哭R]我不能让人完全了解我,0,
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,6735f0650000000017024c33,可咸可甜的傲娇白,5b6561bee8ac2b2341c2ca20,1731588197000,辽宁,2,不是压心底的事和男朋友还有最好的朋友说但是也不全说有所保留,1,6735f020000000001802ab06
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,67362637000000001b035f6f,不要香菜！！！,5d8abeb80000000001000073,1731601975000,湖北,0,是这样的[笑哭R],1,6735f020000000001802ab06
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,673698b5000000001a01be79,shylie,63dca3940000000027028309,1731631286000,山西,0,每次不高兴都是自己在心里慢慢消化，宁愿不说，因为自己知道说了也没有什么用，也没人在意[哭惹R],1,6735f020000000001802ab06
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,6737698a000000001702d9e6,尸骨暖暖的,602492d80000000001009de8,1731684747000,广东,1,从不[doge],0,
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,673769c0000000001702ea1b,尸骨暖暖的,602492d80000000001009de8,1731684800000,广东,0,或者挑着说，就算说了也不会让他真的走进内心,1,6737698a000000001702d9e6
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,6737134e000000001b022afb,momo,63d25f390000000026012f91,1731662671000,江苏,3,余华老师在《我胆小如鼠》中写道: “我这样胆小慢热的人 需要别人千百次主动与回应 才愿相信那是真的”,0,
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,6736f11a0000000019001769,美味,6107e33d00000000010070a2,1731653915000,内蒙古,2,挑着说，有真有假，真的对我不好的话我肯定不会告诉别人，只有我自己知道[doge],0,
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,67371338000000001b037fb4,momo,63d25f390000000026012f91,1731662648000,江苏,0,好难  护士的心一层又一层,0,
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,6736be0600000000170267f3,momo,5bb8ac2bef3da500014cd8d5,1731640839000,浙江,8,除非遇到真真正正的另一个我,0,
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,67360e00000000001702f1e2,Hhh_,64841ea90000000010037c12,1731595777000,山西,6,很多很多年,0,
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,67360e110000000019001a17,Hhh_,64841ea90000000010037c12,1731595794000,山西,3,但是很幸运遇到了一个人,1,67360e00000000001702f1e2
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,6736132a000000001b035335,Tae Rae vision,60799be60000000001000b17,1731597098000,湖南,1,@alpaca,1,67360e110000000019001a17
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,6736acc2000000001a01251f,略略略,6642d53f000000000b032c5b,1731636418000,福建,0,可能和那种现实不会有交集的陌生人可以说几句真心话吧，没有压力,0,
https://www.xiaohongshu.com/explore/6735812d000000001a0368e2,6736fec3000000001a0261e3,vovo,5e8aa3980000000001006c5b,1731657411000,广东,1,不会说 我自己的世界可以容纳全部,0,
